Name,X-Coordinate,Y-Coordinate,Tag,공원녹지OX,Rain Gage,Outlet,Area (ha),Area(m^2),Total Area,Width (m),Flow Length (m),Slope (%),평균 Slope,Imperv. (%)
SN04843,178642.266,550892.938,단독주택,FALSE,huff_2yr,SD04944,0.058607,586.07,,24.209,24.209,0.51,,90
SN04844,178677.016,550898.438,단독주택,FALSE,huff_2yr,SD04945,0.042701,427.01,,20.664,20.664,0.51,,90
SN04845,178706.5,550900.938,단독주택,FALSE,huff_2yr,SD04946,0.036656,366.56,,19.146,19.146,0.51,,90
SN04846,178738.25,550903,단독주택,FALSE,huff_2yr,SD04947,0.030851,308.51,,17.564,17.565,0.51,,90
SN04847,178761.969,550903.5,단독주택,FALSE,huff_2yr,SD04948,0.049005,490.05,,22.137,22.137,0.51,,90
SN04848,178784.344,550904,단독주택,FALSE,huff_2yr,SD04949,0.020283,202.83,,14.242,14.242,0.51,,90
SN04924,178084.313,550859,녹지,TRUE,huff_2yr,SN05024,0.009443,94.43,,9.718,9.717,0.3,,0
SN04925,178102.375,550866.5,녹지,TRUE,huff_2yr,SN04924,0.088739,887.39,,29.789,29.789,0.3,,0
SN04926,178123.672,550867.4,녹지,TRUE,huff_2yr,SN04925,0.038732,387.32,,19.681,19.68,0.3,,0
SN04937,178469.156,550867.063,커뮤니티시설,FALSE,huff_2yr,SD05038,0.047733,477.33,,21.848,21.848,0.51,,85
SN04938,178486.109,550868.4,커뮤니티시설,FALSE,huff_2yr,SD05039,0.049582,495.82,,22.267,22.267,0.51,,85
SN04939,178521.922,550870.938,종교시설,FALSE,huff_2yr,SD05040,0.064375,643.75,,25.372,25.372,0.51,,80
SN04940,178551.484,550873,공원,TRUE,huff_2yr,SD05041,0.05186,518.6,,22.773,22.773,0.51,,15
SN04941,178577.391,550874.7,커뮤니티시설,FALSE,huff_2yr,SD05042,0.029178,291.78,,17.082,17.081,0.51,,85
SN04942,178614.3,550871.438,단독주택,FALSE,huff_2yr,S05043TTTT,0.024086,240.86,,15.52,15.519,0.51,,90
SN05024,178079.469,550834.6,녹지,TRUE,huff_2yr,OF46,0.04366,436.6,,20.895,20.895,0.3,,0
SN05025,178102.172,550836.7,녹지,TRUE,huff_2yr,SN05024,0.09,900,,30,30,0.3,,0
SN05026,178121.969,550837.6,녹지,TRUE,huff_2yr,SN05025,0.028464,284.64,,16.871,16.872,0.3,,0
SN05123,178055.219,550795.6,녹지,TRUE,huff_2yr,OF46,0.003474,34.74,,5.894,5.894,0.3,,0
SN05124,178073.313,550805.9,녹지,TRUE,huff_2yr,SN05123,0.081521,815.21,,28.552,28.552,0.3,,0
SN05125,178101.8,550808.2,녹지,TRUE,huff_2yr,SD05124,0.080899,808.99,,28.443,28.442,0.3,,0
SN05126,178120.4,550810.3,녹지,TRUE,huff_2yr,SD05125,0.015688,156.88,,12.525,12.525,0.3,,0
SN05223,178049.016,550775.2,녹지,TRUE,huff_2yr,J22,0.033552,335.52,,18.317,18.317,0.3,,0
SN05224,178074.438,550772.563,주차장,FALSE,huff_2yr,SD05223,0.03218,321.8,,17.939,17.939,0.3,,100
SN05225,178093.859,550768.9,주차장,FALSE,huff_2yr,SD05224,0.018859,188.59,,13.733,13.733,0.3,,100
SN05257,179062.109,550774.3,교육시설,FALSE,huff_2yr,SN05358,0.045306,453.06,,21.285,21.285,0.518,,70
SN05258,179092.344,550770,커뮤니티시설,FALSE,huff_2yr,SD05259,0.044929,449.29,,21.196,21.197,0.621,,85
SN05259,179122.719,550770.75,커뮤니티시설,FALSE,huff_2yr,SD05260,0.054228,542.28,,23.287,23.287,0.621,,85
SN05260,179141.172,550773.5,커뮤니티시설,FALSE,huff_2yr,SD05261,0.015274,152.74,,12.359,12.359,0.621,,85
SN05322,178025.375,550735.4,녹지,TRUE,huff_2yr,SN05422,0.002972,29.72,,5.451,5.452,0.3,,0
SN05323,178039.578,550745.9,녹지,TRUE,huff_2yr,SN05322,0.04084,408.4,,20.209,20.209,0.3,,0
SN05324,178072.969,550746,근린생활시설,FALSE,huff_2yr,SD05323,0.08462,846.2,,29.09,29.089,0.3,,90
SN05325,178092.75,550747.5,주차장,FALSE,huff_2yr,SD05324,0.033157,331.57,,18.209,18.209,0.3,,100
SN05345,178701.781,550741.75,교육시설,FALSE,huff_2yr,S05446TFTT,0.037722,377.22,,19.422,19.422,0.51,,70
SN05355,179002.219,550746.6,교육시설,FALSE,huff_2yr,SN05456,0.089722,897.22,,29.954,29.953,0.51,,70
SN05356,179032.172,550746.7,교육시설,FALSE,huff_2yr,SN05457,0.09,900,,30,30,0.51,,70
SN05357,179062.172,550746.7,교육시설,FALSE,huff_2yr,SN05458,0.09,900,,30,30,0.51,,70
SN05358,179092.172,550746.7,커뮤니티시설,FALSE,huff_2yr,SD05459,0.09,900,,30,30,0.518,,85
SN05359,179121.6,550747.1,커뮤니티시설,FALSE,huff_2yr,SD05360,0.086221,862.21,,29.363,29.364,0.621,,85
SN05422,178016.922,550714.75,녹지,TRUE,huff_2yr,OF47,0.037226,372.26,,19.294,19.294,0.3,,0
SN05423,178043.6,550713.3,단독주택,FALSE,huff_2yr,SD05422,0.025828,258.28,,16.071,16.071,0.3,,90
SN05424,178074.641,550722.5,근린생활시설,FALSE,huff_2yr,SD05423,0.044309,443.09,,21.05,21.049,0.3,,90
SN05425,178090,550723.25,근린생활시설,FALSE,huff_2yr,SD05424,0.01071,107.1,,10.349,10.349,0.3,,90
SN05440,178553.125,550708.5,교육시설,FALSE,huff_2yr,SN05541,0.04007,400.7,,20.018,20.017,0.413,,70
SN05441,178582.891,550711.063,교육시설,FALSE,huff_2yr,SN05542,0.055809,558.09,,23.624,23.624,0.413,,70
SN05442,178612.734,550713.7,교육시설,FALSE,huff_2yr,SN05543,0.071677,716.77,,26.773,26.772,0.413,,70
SN05443,178642.516,550716.1,교육시설,FALSE,huff_2yr,SN05544,0.086599,865.99,,29.428,29.427,0.413,,70
SN05444,178672.172,550716.7,교육시설,FALSE,huff_2yr,SN05545,0.09,900,,30,30,0.413,,70
SN05445,178702.172,550716.7,교육시설,FALSE,huff_2yr,SN05546,0.09,900,,30,30,0.402,,70
SN05453,178941.984,550713.063,단독주택,FALSE,huff_2yr,SD05554,0.055036,550.36,,23.46,23.46,0.51,,90
SN05454,178970.281,550712.563,단독주택,FALSE,huff_2yr,SD05555,0.040368,403.68,,20.092,20.092,0.51,,90
SN05455,179002.172,550716.7,교육시설,FALSE,huff_2yr,SN05556,0.09,900,,30,30,0.51,,70
SN05456,179032.172,550716.7,교육시설,FALSE,huff_2yr,SN05557,0.09,900,,30,30,0.51,,70
SN05457,179062.172,550716.7,교육시설,FALSE,huff_2yr,SN05558,0.09,900,,30,30,0.51,,70
SN05458,179092.172,550716.7,교육시설,FALSE,huff_2yr,SD05559,0.09,900,,30,30,0.51,,70
SN05521,177991.766,550679.6,녹지,TRUE,huff_2yr,OF47,0.019277,192.77,,13.884,13.884,0.3,,0
SN05522,178008.063,550687.3,녹지,TRUE,huff_2yr,SN05521,0.043285,432.85,,20.805,20.805,0.3,,0
SN05523,178038.547,550686.438,단독주택,FALSE,huff_2yr,SD05522,0.042487,424.87,,20.612,20.613,0.3,,90
SN05524,178073.078,550690,단독주택,FALSE,huff_2yr,SD05523,0.047602,476.02,,21.818,21.818,0.3,,90
SN05525,178093.953,550682.5,단독주택,FALSE,huff_2yr,SD05524,0.023719,237.19,,15.401,15.401,0.3,,90
SN05537,178464.625,550685.75,교육시설,FALSE,huff_2yr,SD05638,0.074362,743.62,,27.269,27.27,0.413,,70
SN05538,178490.3,550686.2,교육시설,FALSE,huff_2yr,SD05639,0.078471,784.71,,28.013,28.012,0.413,,70
SN05539,178527.734,550687.25,교육시설,FALSE,huff_2yr,SN05640,0.056408,564.08,,23.75,23.751,0.413,,70
SN05540,178552.172,550686.7,교육시설,FALSE,huff_2yr,SN05641,0.09,900,,30,30,0.413,,70
SN05541,178582.172,550686.7,교육시설,FALSE,huff_2yr,SN05642,0.09,900,,30,30,0.413,,70
SN05542,178612.172,550686.7,교육시설,FALSE,huff_2yr,SN05643,0.09,900,,30,30,0.413,,70
SN05543,178642.172,550686.7,교육시설,FALSE,huff_2yr,SN05644,0.09,900,,30,30,0.413,,70
SN05544,178672.172,550686.7,교육시설,FALSE,huff_2yr,SN05645,0.09,900,,30,30,0.413,,70
SN05545,178702.172,550686.7,교육시설,FALSE,huff_2yr,SN05646,0.09,900,,30,30,0.413,,70
SN05546,178732.172,550686.7,교육시설,FALSE,huff_2yr,S05647TFTT,0.09,900,,30,30,0.413,,70
SN05552,178917.313,550688.1,단독주택,FALSE,huff_2yr,SD05653,0.046404,464.04,,21.542,21.541,0.51,,90
SN05553,178941.719,550690.3,단독주택,FALSE,huff_2yr,SN05654,0.067706,677.06,,26.02,26.021,0.51,,90
SN05554,178968.719,550688.438,단독주택,FALSE,huff_2yr,J149,0.046593,465.93,,21.585,21.586,0.51,,90
SN05555,179002.578,550686.75,교육시설,FALSE,huff_2yr,SN05656,0.087484,874.84,,29.578,29.577,0.51,,70
SN05556,179032.172,550686.7,교육시설,FALSE,huff_2yr,S05657FFTT,0.09,900,,30,30,0.51,,70
SN05557,179062.172,550686.7,교육시설,FALSE,huff_2yr,SD05658,0.09,900,,30,30,0.51,,70
SN05558,179092.172,550686.7,교육시설,FALSE,huff_2yr,SD05659,0.09,900,,30,30,0.51,,70
SN05621,177982.547,550656.563,녹지,TRUE,huff_2yr,OF47,0.061332,613.32,,24.765,24.766,0.3,,0
SN05622,178015.344,550657.2,단독주택,FALSE,huff_2yr,SD05621,0.039834,398.34,,19.958,19.959,0.3,,90
