Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length
S07447TTTT,178762.172,550116.7,공원,huff_2yr,S07448TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07448TTTT,178792.172,550116.7,공원,huff_2yr,S07449TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07449TTTT,178822.172,550116.7,상업시설,huff_2yr,S07450TTTT,0.09,30,30,0.411,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07450TTTT,178852.172,550116.7,상업시설,huff_2yr,S07451TTTT,0.09,30,30,0.411,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07451TTTT,178882.172,550116.7,상업시설,huff_2yr,S07452TTTT,0.09,30,30,0.411,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07452TTTT,178912.172,550116.7,공공공지,huff_2yr,S07453TTTT,0.09,30,30,0.411,60,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07453TTTT,178942.172,550116.7,공원,huff_2yr,S07454TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07454TTTT,178972.172,550116.7,공원,huff_2yr,S07455TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07455TTTT,179002.172,550116.7,공원,huff_2yr,SD07456,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07456TTTF,179027.828,550116.9,공원,huff_2yr,SD07457,0.063902,25.279,25.279,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07457TFTT,179070.453,550116.25,공원,huff_2yr,S07458TTTT,0.040209,20.052,20.052,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07458TTTT,179092.172,550116.7,공원,huff_2yr,S07459TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07459TTTT,179122.172,550116.7,공원,huff_2yr,S07460TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07460TTTT,179147.859,550118.063,자족시설,huff_2yr,OF27,0.062584,25.017,25.017,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07505TTTT,177516.672,550072.4,자족시설,huff_2yr,S07506TTTT,0.000158,1.256,1.258,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07506TTTT,177536,550084.2,자족시설,huff_2yr,S07505TTTT,0.06192,24.884,24.883,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07507TTTF,177554.453,550087.063,근생용지,huff_2yr,S07506TTTT,0.040346,20.086,20.087,0.3,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07508TFTT,177593.438,550086,근생용지,huff_2yr,SD07507,0.081887,28.616,28.616,0.3,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07509TTTF,177618.453,550087.7,녹지,huff_2yr,SD07508,0.066831,25.852,25.851,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07514TTTT,177771.922,550087.1,녹지,huff_2yr,OF44,0.084413,29.054,29.054,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07515TTFF,177791.672,550095.2,공동주택,huff_2yr,S07514TTTT,0.013181,11.481,11.481,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07517FFTT,177867.2,550084.1,공동주택,huff_2yr,SD07516,0.031802,17.833,17.833,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07518TTTT,177892.188,550086.7,공동주택,huff_2yr,SD07517,0.089901,29.984,29.983,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07519TTTT,177922.172,550086.7,공동주택,huff_2yr,SD07518,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07520TTTT,177952.172,550086.7,공공공지,huff_2yr,S07519TTTT,0.09,30,30,0.3,60,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07521TTTT,177982.172,550086.7,근린생활시설,huff_2yr,S07520TTTT,0.09,30,30,0.3,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07526FFTT,178132.781,550081.9,근린생활시설,huff_2yr,SD07527,0.06097,24.692,24.692,0.42,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07527FTTT,178162.672,550084.4,근린생활시설,huff_2yr,SD07528,0.075862,27.543,27.543,0.42,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07528FTTT,178192.359,550086.438,근린생활시설,huff_2yr,S07529FTTT,0.088496,29.748,29.749,0.42,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07529FTTT,178222.172,550086.7,근린생활시설,huff_2yr,S07530TTTT,0.09,30,30,0.42,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07530TTTT,178252.172,550086.7,공원,huff_2yr,S07531TTTT,0.09,30,30,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07531TTTT,178282.172,550086.7,공원,huff_2yr,SD07532,0.09,30,30,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07532TTTF,178304.984,550086.8,공원,huff_2yr,S07533TTTT,0.037127,19.268,19.269,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07533TTTT,178342.172,550086.7,공원,huff_2yr,S07534TTTT,0.09,30,30,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07534TTTT,178372.172,550086.7,공원,huff_2yr,S07535TTTT,0.09,30,30,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07535TTTT,178402.172,550086.7,공원,huff_2yr,S07536TTTT,0.09,30,30,0.417,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07536TTTT,178432.172,550086.7,공원,huff_2yr,S07537TTTT,0.09,30,30,0.409,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07537TTTT,178462.172,550086.7,공원,huff_2yr,S07538TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07538TTTT,178492.172,550086.7,공원,huff_2yr,S07539TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07539TTTT,178522.172,550086.7,공원,huff_2yr,S07540TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07540TTTT,178552.172,550086.7,공원,huff_2yr,SD07541,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07541TTTF,178579.656,550086.25,공원,huff_2yr,SD07542,0.074668,27.325,27.326,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07542TFTT,178621.188,550087.75,공원,huff_2yr,S07543TTTT,0.035452,18.829,18.828,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07543TTTT,178642.172,550086.7,공원,huff_2yr,S07544TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07544TTTT,178672.172,550086.7,공원,huff_2yr,S07545TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07545TTTT,178702.172,550086.7,공원,huff_2yr,S07546TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07546TTTT,178732.172,550086.7,공원,huff_2yr,S07547TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07547TTTT,178762.172,550086.7,공원,huff_2yr,S07548TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07548TTTT,178792.172,550086.7,공원,huff_2yr,S07549TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07549TTTT,178822.172,550086.7,상업시설,huff_2yr,S07550TTTT,0.09,30,30,0.411,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07550TTTT,178852.172,550086.7,상업시설,huff_2yr,S07551TTTT,0.09,30,30,0.411,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07551TTTT,178882.172,550086.7,공원,huff_2yr,S07552TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07552TTTT,178912.172,550086.7,공원,huff_2yr,S07553TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07553TTTT,178942.172,550086.7,공원,huff_2yr,S07554TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07554TTTT,178972.172,550086.7,공원,huff_2yr,S07555TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07555TTTT,179002.172,550086.7,공원,huff_2yr,SD07556,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07556TTTF,179026.938,550086.938,공원,huff_2yr,SD07557,0.058478,24.182,24.182,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07557TFTT,179069.234,550086.3,공원,huff_2yr,S07558TTTT,0.047599,21.817,21.817,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07558TTTT,179092.172,550086.7,공원,huff_2yr,S07559TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07559TTTT,179122.172,550086.7,공원,huff_2yr,S07560TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07560TTTT,179142.313,550090.1,자족시설,huff_2yr,OF27,0.0266,16.309,16.31,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07605TTTT,177509.219,550052.3,자족시설,huff_2yr,OF59,0.037951,19.481,19.481,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07606TTTT,177532.172,550056.7,자족시설,huff_2yr,S07605TTTT,0.09,30,30,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07607TTTT,177562.609,550056.5,자족시설,huff_2yr,S07606TTTT,0.037868,19.46,19.459,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07608FTTT,177592.172,550056.7,자족시설,huff_2yr,SD07607,0.09,30,30,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07609FTTF,177614.219,550058.25,녹지,huff_2yr,S07608FTTT,0.040885,20.22,20.22,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07614TTTF,177768.672,550066.2,공동주택,huff_2yr,S07514TTTT,0.018511,13.606,13.605,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07617TFTT,177864.938,550056,공동주택,huff_2yr,SD07616,0.072802,26.982,26.982,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07618TTTT,177892.172,550056.7,공동주택,huff_2yr,SD07617,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07619TTTT,177922.172,550056.7,공동주택,huff_2yr,S07618TTTT,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07620TTTT,177952.172,550056.7,공동주택,huff_2yr,S07619TTTT,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07621TTTT,177982.172,550056.7,공원,huff_2yr,S07620TTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07623FFTT,178042.172,550056.7,공원,huff_2yr,S07624FTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07624FTTT,178072.172,550056.7,공원,huff_2yr,SD07625,0.09,30,30,0.418,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07625FTTT,178102.125,550056.4,공원,huff_2yr,S07626TTTT,0.088025,29.669,29.669,0.412,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07626TTTT,178132.172,550056.7,공원,huff_2yr,S07627TTTT,0.09,30,30,0.412,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07627TTTT,178162.172,550056.7,공원,huff_2yr,S07628TTTT,0.09,30,30,0.412,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07628TTTT,178192.172,550056.7,공원,huff_2yr,S07629TTTT,0.09,30,30,0.416,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07629TTTT,178222.172,550056.7,공원,huff_2yr,S07630TTTT,0.09,30,30,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07630TTTT,178252.172,550056.7,공원,huff_2yr,S07631TTTT,0.09,30,30,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07631TTTT,178282.172,550056.7,공원,huff_2yr,SD07632,0.09,30,30,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07632TTTF,178306.109,550056.75,공원,huff_2yr,S07633TTTT,0.036109,19.002,19.003,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07633TTTT,178342.172,550056.7,공원,huff_2yr,S07634TTTT,0.09,30,30,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07634TTTT,178372.172,550056.7,공원,huff_2yr,S07635TTTT,0.09,30,30,0.417,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07635TTTT,178402.172,550056.7,공동주택,huff_2yr,S07636TTTT,0.09,30,30,0.416,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07636TTTT,178432.172,550056.7,공동주택,huff_2yr,S07637TTTT,0.09,30,30,0.42,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07637TTTT,178462.172,550056.7,공동주택,huff_2yr,S07638TTTT,0.09,30,30,0.42,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07638TTTT,178492.172,550056.7,공동주택,huff_2yr,S07639TTTT,0.09,30,30,0.42,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07639TTTT,178522.172,550056.7,공동주택,huff_2yr,S07640TTTT,0.09,30,30,0.42,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07640TTTT,178552.172,550056.7,공동주택,huff_2yr,SD07641,0.09,30,30,0.42,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07641TTTF,178581.734,550056.438,업무시설,huff_2yr,SD07642,0.087221,29.533,29.533,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07642TFFT,178622.547,550057.938,업무시설,huff_2yr,S07643TTTT,0.021519,14.669,14.67,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07643TTTT,178642.172,550056.7,업무시설,huff_2yr,S07644TTTT,0.09,30,30,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07644TTTT,178672.172,550056.7,공원,huff_2yr,S07645TTTT,0.09,30,30,0.42,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07645TTTT,178702.172,550056.7,공원,huff_2yr,S07646TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07646TTTT,178732.172,550056.7,공원,huff_2yr,S07647TTTT,0.09,30,30,0.408,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07647TTTT,178762.172,550056.7,공원,huff_2yr,S07648TTTT,0.09,30,30,0.408,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07648TTTT,178792.172,550056.7,공원,huff_2yr,S07649TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07649TTTT,178822.172,550056.7,공원,huff_2yr,S07650TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07650TTTT,178852.172,550056.7,공원,huff_2yr,S07651TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07651TTTT,178882.172,550056.7,자족시설,huff_2yr,S07652TTTT,0.09,30,30,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07652TTTT,178912.172,550056.7,자족시설,huff_2yr,S07653TTTT,0.09,30,30,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07653TTTT,178942.172,550056.7,자족시설,huff_2yr,S07654TTTT,0.09,30,30,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07654TTTT,178972.172,550056.7,자족시설,huff_2yr,S07655TTTT,0.09,30,30,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07655TTTT,179002.172,550056.7,자족시설,huff_2yr,SD07656,0.09,30,30,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07656TTTF,179025.9,550057,공원,huff_2yr,SD07657,0.0523,22.869,22.869,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07657TFTT,179068,550056.4,공원,huff_2yr,S07658TTTT,0.05499,23.45,23.45,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07658TTTT,179092.172,550056.7,공원,huff_2yr,S07659TTTT,0.09,30,30,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07659TTTT,179121.672,550056.938,공원,huff_2yr,S07660TTTT,0.086911,29.481,29.48,0.411,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07660TTTT,179138.109,550069.438,자족시설,huff_2yr,S07560TTTT,0.000951,3.084,3.084,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07704TTFT,177481.844,550018.9,자족시설,huff_2yr,OF59,0.017275,13.143,13.144,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07705TTFT,177502.563,550026.3,자족시설,huff_2yr,S07704TTFT,0.087383,29.561,29.56,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07706TTFT,177531.047,550027.3,자족시설,huff_2yr,S07705TTFT,0.08274,28.765,28.764,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07707TTFT,177568.766,550025.438,자족시설,huff_2yr,SD07706,0.048111,21.934,21.934,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07708TTTT,177592.172,550026.7,자족시설,huff_2yr,SD07707,0.09,30,30,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07709TTTT,177610.3,550031.063,녹지,huff_2yr,S07708TTTT,0.014939,12.222,12.223,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07710TTTF,177652.219,550017,근생용지,huff_2yr,SD07709,0,0.006,0,0.3,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07715TFTT,177804.875,550024.75,근생용지,huff_2yr,SN07714,0.070085,26.474,26.473,0.3,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07716TTTF,177824.938,550026.938,공원,huff_2yr,S07715TFTT,0.046496,21.563,21.563,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07717FFTT,177863.984,550026.8,공원,huff_2yr,SD07716,0.079135,28.131,28.131,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07718FTTT,177892.172,550026.7,공원,huff_2yr,SD07717,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07719FTTT,177922.172,550026.7,공원,huff_2yr,S07718FTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07720FTTT,177952.172,550026.7,공원,huff_2yr,S07719FTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07721FTTT,177982.172,550026.7,공원,huff_2yr,S07720FTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07722FTTT,178012.172,550026.7,공원,huff_2yr,S07721FTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07723TTTT,178042.172,550026.7,공원,huff_2yr,S07724TTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07724TTTT,178072.172,550026.7,공원,huff_2yr,S07725TTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07725TTTT,178102.172,550026.7,공원,huff_2yr,S07726TTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07726TTTT,178132.172,550026.7,공원,huff_2yr,S07727TTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07727TTTT,178162.172,550026.7,공원,huff_2yr,S07728TTTT,0.09,30,30,0.442,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07728TTTT,178192.172,550026.7,공동주택,huff_2yr,S07729TTTT,0.09,30,30,0.438,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07729TTTT,178222.172,550026.7,공동주택,huff_2yr,S07730TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07730TTTT,178252.172,550026.7,공동주택,huff_2yr,S07731TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07731TTTT,178282.172,550026.7,공동주택,huff_2yr,SD07732,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07732TTTF,178307.047,550026.75,공동주택,huff_2yr,S07733TTTT,0.03515,18.748,18.749,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07733TTTT,178342.172,550026.7,공동주택,huff_2yr,S07734TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07734TTTT,178372.172,550026.7,공동주택,huff_2yr,S07735TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07735TTTT,178402.172,550026.7,공동주택,huff_2yr,S07736TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07736TTTT,178432.172,550026.7,공동주택,huff_2yr,S07737TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07737TTTT,178462.172,550026.7,공동주택,huff_2yr,S07738TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07738TTTT,178492.172,550026.7,공동주택,huff_2yr,S07739TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07739TTTT,178522.172,550026.7,공동주택,huff_2yr,S07740TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07740TTTT,178552.172,550026.7,공동주택,huff_2yr,S07741TTTT,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07741TTTT,178582.172,550026.7,공동주택,huff_2yr,SD07742,0.09,30,30,0.412,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07742FTTT,178608.25,550026.8,업무시설,huff_2yr,SD07743,0.017521,13.237,13.236,0.412,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07743TFTT,178642.188,550026.7,업무시설,huff_2yr,S07744TTTT,0.089919,29.987,29.986,0.412,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07744TTTT,178672.172,550026.7,업무시설,huff_2yr,S07745TTTT,0.09,30,30,0.415,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07745TTTT,178702.172,550026.7,업무시설,huff_2yr,S07746TTTT,0.09,30,30,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07746TTTT,178732.172,550026.7,업무시설,huff_2yr,S07747TTTT,0.09,30,30,0.421,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07747TTTT,178762.172,550026.7,공원,huff_2yr,S07748TTTT,0.09,30,30,0.421,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07748TTTT,178792.172,550026.7,공원,huff_2yr,S07749TTTT,0.09,30,30,0.415,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07749TTTT,178822.172,550026.7,자족시설,huff_2yr,S07750TTTT,0.09,30,30,0.413,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07750TTTT,178852.172,550026.7,자족시설,huff_2yr,S07751TTTT,0.09,30,30,0.416,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07751TTTT,178882.172,550026.7,자족시설,huff_2yr,S07752TTTT,0.09,30,30,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07752TTTT,178912.172,550026.7,자족시설,huff_2yr,S07753TTTT,0.09,30,30,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07753TTTT,178942.172,550026.7,자족시설,huff_2yr,S07754TTTT,0.09,30,30,0.42,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07754TTTT,178972.172,550026.7,자족시설,huff_2yr,S07755TTTT,0.09,30,30,0.418,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07755TTTT,179002.172,550026.7,자족시설,huff_2yr,SD07756,0.09,30,30,0.408,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07756TTTF,179024.828,550027.063,공원,huff_2yr,SD07757,0.045872,21.418,21.417,0.407,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07757TFTT,179066.766,550026.4,공원,huff_2yr,S07758TTTT,0.06238,24.976,24.976,0.407,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07758TTTT,179092.172,550026.7,공원,huff_2yr,S07759TTTT,0.09,30,30,0.41,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07759TTTT,179118.375,550027.75,자족시설,huff_2yr,OF28,0.066181,25.726,25.725,0.411,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07808TFTT,177591.156,550000.7,자족시설,huff_2yr,SD07807,0.04613,21.478,21.478,0.3,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07809TTTT,177607.391,550010.938,녹지,huff_2yr,SD07808,7.40E-05,0.863,0.857,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07810TTTF,177651.547,549996.7,공원,huff_2yr,SD07809,0,0.021,0,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07814FTTT,177778.875,549993.063,공원,huff_2yr,OF43,0.042408,20.593,20.593,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07815FTTT,177802.172,549996.7,공원,huff_2yr,S07814FTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07816FTTT,177824.688,549996.438,공원,huff_2yr,S07815FTTT,0.044992,21.211,21.212,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07817TTTT,177864.922,549996.938,공원,huff_2yr,SD07816,0.07348,27.107,27.107,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07818TTTT,177892.172,549996.7,공원,huff_2yr,SD07817,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07819TTTT,177922.172,549996.7,공원,huff_2yr,S07818TTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07820TTTT,177952.172,549996.7,공원,huff_2yr,S07819TTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07821TTTT,177982.172,549996.7,공원,huff_2yr,S07820TTTT,0.09,30,30,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S07822TTTT,178012.172,549996.7,공동주택,huff_2yr,S07821TTTT,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
