Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length
S05946TTTT,178732.172,550566.7,공원,huff_2yr,S05947TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05947TTTT,178762.172,550566.7,공원,huff_2yr,SD06048,0.09,30,30,0.403,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05948TTTF,178789.609,550567.1,녹지,huff_2yr,SD06049,0.074424,27.281,27.281,0.381,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05949FFTT,178835.391,550562.563,주상복합,huff_2yr,S06050TTTT,0.008661,9.306,9.307,0.374,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05950TTTT,178852.172,550566.7,주상복합,huff_2yr,S06051TTTT,0.09,30,30,0.377,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05951TTTT,178882.172,550566.7,주상복합,huff_2yr,S06052TTTT,0.09,30,30,0.393,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05952TTTT,178912.172,550566.7,주상복합,huff_2yr,S06053TTTT,0.09,30,30,0.413,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05953TTTT,178942.172,550566.7,주상복합,huff_2yr,S06054TTTT,0.09,30,30,0.413,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05954TTTT,178972.172,550566.7,주상복합,huff_2yr,S06055TTTT,0.09,30,30,0.413,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05955TTTT,179002.172,550566.7,주상복합,huff_2yr,S05956TTTT,0.09,30,30,0.413,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05956TTTT,179032.172,550566.7,주상복합,huff_2yr,S05957TTTT,0.09,30,30,0.413,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05957TTTT,179062.172,550566.7,주상복합,huff_2yr,SD06058,0.09,30,30,0.427,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05958TTFF,179080.469,550569.5,공원,huff_2yr,S06059TTTT,0.017032,13.051,13.05,0.358,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05959TFTT,179123.9,550566.1,공원,huff_2yr,S06060TTTT,0.07926,28.153,28.153,0.433,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05960TTTT,179152.172,550566.7,공원,huff_2yr,S06061TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05961TTTT,179182.172,550566.7,공원,huff_2yr,S06062TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05962TTTT,179212.172,550566.7,공원,huff_2yr,S06063TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05963TTTT,179242.172,550566.7,공원,huff_2yr,S06064TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05964TTTT,179272.172,550566.7,공원,huff_2yr,S05965TTTT,0.09,30,30,0.575,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05965TTTT,179302.172,550566.7,공원,huff_2yr,S05966TTTT,0.09,30,30,0.621,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05966TTTT,179332.172,550566.7,공원,huff_2yr,S05967TTTT,0.09,30,30,0.621,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05967TTTT,179351.016,550568.4,공원,huff_2yr,OF21,0.022167,14.889,14.888,10.414,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06005FFTT,177507.531,550529.5,공원,huff_2yr,S06106TTTT,0.029178,17.081,17.082,1.625,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06006FTTF,177527.391,550525.938,녹지,huff_2yr,SD06107,0.019409,13.932,13.931,1.634,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06007TTTT,177547.391,550521.8,녹지,huff_2yr,SD06108,9.00E-06,0.296,0.304,1.634,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06008TTTT,177592.172,550532.938,녹지,huff_2yr,SD06109,0,0.032,0,1.616,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06009TTTT,177613.4,550524.25,공원,huff_2yr,SD06110,0,0.024,0,1.543,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
